Postcode,2017.0,2018.0,2019.0
1011.0,6100,6100,6200
1012.0,5700,5600,5700
1013.0,12300,12300,12300
1014.0,300,300,900
1015.0,9400,9500,9400
1016.0,7100,7100,7100
1017.0,7800,7800,7700
1018.0,12000,12200,11900
1019.0,9200,9200,9500
1021.0,3700,3800,3800
1022.0,1300,1300,1400
1023.0,2300,2300,2300
1024.0,5900,5900,5800
1025.0,7600,7600,7700
1026.0,200,200,200
1027.0,200,200,200
1028.0,200,200,200
1031.0,3100,3400,3300
1032.0,2800,2800,2900
1033.0,6000,6400,6600
1034.0,6500,6500,6500
1035.0,4400,4500,4500
1036.0,600,700,800
1037.0,100,100,100
1041.0,0,0,0
1042.0,0,0,0
1043.0,100,400,500
1045.0,100,100,100
1046.0,0,100,100
1047.0,0,0,0
1051.0,7800,7800,7700
1052.0,7300,7300,7300
1053.0,10200,10300,10200
1054.0,10100,10200,10200
1055.0,11600,11600,11700
1056.0,10700,10600,10500
1057.0,10000,9800,9800
1058.0,9100,9100,9000
1059.0,3900,3600,3700
1060.0,3900,3900,3900
1061.0,6100,6300,6400
1062.0,5300,7000,7400
1063.0,6000,5900,6000
1064.0,7900,8100,8100
1065.0,5800,5900,5900
1066.0,7900,8100,8200
1067.0,8100,8000,8300
1068.0,8400,8500,8500
1069.0,11700,11700,11500
1071.0,6700,6600,6700
1072.0,8800,8800,8700
1073.0,8300,8400,8300
1074.0,5200,5100,5100
1075.0,5700,5600,5700
1076.0,6300,6500,6400
1077.0,4700,4600,4600
1078.0,8600,8500,8400
1079.0,9000,9000,8800
1081.0,2900,3000,3000
1082.0,6200,6600,6700
1083.0,4500,4500,4400
1086.0,1500,1500,1600
1087.0,6900,7200,7600
1091.0,9600,9600,9800
1092.0,5000,4900,4900
1093.0,5500,5700,5700
1094.0,6900,7000,6900
1095.0,6700,7300,7400
1096.0,3000,3100,3100
1097.0,8000,7800,8100
1098.0,7700,7600,8100
1101.0,100,100,100
1102.0,12900,12900,12800
1103.0,7200,7300,7400
1104.0,7500,7600,7700
1105.0,400,400,500
1106.0,8600,8700,8700
1107.0,5800,5800,5900
1108.0,1700,1700,1700
1109.0,600,600,700
