zipcode,metro_count,tram_count
1011AC,0.0,1.0
1011MB,1.0,0.0
1011PZ,0.0,1.0
1011RL,1.0,1.0
1012AB,1.0,1.0
1012KR,1.0,1.0
1012LP,0.0,1.0
1012RB,0.0,1.0
1012SC,0.0,1.0
1012WP,0.0,1.0
1013MV,0.0,1.0
1014AH,0.0,1.0
1014CE,1.0,0.0
1015VB,0.0,1.0
1015WB,0.0,1.0
1015WN,0.0,1.0
1015XK,0.0,1.0
1016TH,0.0,1.0
1016VC,0.0,1.0
1017CV,0.0,1.0
1017DK,0.0,1.0
1017HD,0.0,1.0
1017HT,1.0,1.0
1017NX,0.0,1.0
1017SB,0.0,1.0
1017VL,0.0,1.0
1017VP,0.0,1.0
1017ZN,0.0,1.0
1018AE,0.0,1.0
1018CH,0.0,1.0
1018DB,0.0,1.0
1018DC,0.0,1.0
1018GG,0.0,1.0
1018GP,1.0,1.0
1018RC,0.0,1.0
1018SN,0.0,1.0
1018VA,0.0,1.0
1019BE,0.0,1.0
1019DW,0.0,1.0
1019GW,0.0,1.0
1019JN,0.0,1.0
1021BT,1.0,0.0
1022LB,1.0,0.0
1023HP,0.0,1.0
1043DT,1.0,1.0
1051BE,0.0,1.0
1051HM,0.0,1.0
1052AG,0.0,1.0
1052CN,0.0,1.0
1052HT,0.0,1.0
1052KX,0.0,1.0
1053AE,0.0,1.0
1053DN,0.0,1.0
1053EA,0.0,1.0
1053GE,0.0,1.0
1054HC,0.0,1.0
1054JE,0.0,1.0
1054KE,0.0,1.0
1054LJ,0.0,1.0
1055AD,0.0,1.0
1055MD,0.0,1.0
1055MX,0.0,1.0
1056CA,0.0,1.0
1056CE,0.0,1.0
1056GH,0.0,1.0
1056GM,0.0,1.0
1057BN,0.0,1.0
1057DA,0.0,1.0
1057DL,0.0,1.0
1057HT,0.0,1.0
1057JT,0.0,1.0
1057KG,0.0,1.0
1058BC,0.0,1.0
1058GL,0.0,1.0
1059CV,0.0,1.0
1059WE,0.0,1.0
1060NK,0.0,1.0
1060TS,0.0,1.0
1061AE,0.0,1.0
1061BE,1.0,1.0
1061XS,0.0,2.0
1062GX,1.0,0.0
1062MX,0.0,1.0
1062XT,0.0,1.0
1063BK,0.0,1.0
1063CT,0.0,1.0
1063EV,0.0,1.0
1064BL,0.0,1.0
1064BM,1.0,1.0
1064DH,0.0,1.0
1064EL,0.0,1.0
1064HB,0.0,1.0
1065BJ,1.0,1.0
1065HZ,0.0,1.0
1065XR,1.0,0.0
1066EA,0.0,1.0
1066MP,0.0,1.0
1066NB,0.0,1.0
1066SJ,0.0,1.0
1066VC,0.0,1.0
1066XM,1.0,1.0
1067NC,0.0,2.0
1068EP,0.0,1.0
1068JE,0.0,1.0
1068MN,0.0,1.0
1068NN,0.0,1.0
1068SX,0.0,1.0
1069DZ,0.0,1.0
1069EM,0.0,1.0
1069NE,0.0,1.0
1069PX,0.0,1.0
1069RE,0.0,1.0
1069TD,0.0,1.0
1071AN,0.0,1.0
1071AP,0.0,1.0
1071CX,0.0,1.0
1071HS,0.0,1.0
1071TT,0.0,1.0
1072GB,0.0,1.0
1072JJ,0.0,1.0
1072LE,1.0,1.0
1072LJ,0.0,1.0
1073NC,0.0,1.0
1074AD,0.0,1.0
1074AL,0.0,1.0
1075CL,0.0,1.0
1075EM,0.0,1.0
1076AM,0.0,1.0
1076BZ,0.0,1.0
1076CM,0.0,1.0
1076CR,0.0,1.0
1076GR,1.0,1.0
1077EJ,0.0,1.0
1077JN,0.0,1.0
1077KM,0.0,1.0
1077TC,0.0,1.0
1077XV,1.0,1.0
1078BT,0.0,1.0
1078GK,0.0,1.0
1078HA,0.0,1.0
1078NL,0.0,1.0
1078PA,0.0,1.0
1078PJ,0.0,1.0
1078PS,0.0,1.0
1078RV,1.0,1.0
1079AP,0.0,1.0
1079PC,1.0,1.0
1081AA,0.0,1.0
1081AB,0.0,1.0
1081HV,0.0,1.0
1081HZ,0.0,1.0
1082LZ,0.0,1.0
1083HM,0.0,1.0
1086ZH,0.0,1.0
1087BR,0.0,1.0
1087GJ,0.0,1.0
1087HT,0.0,1.0
1087JH,0.0,1.0
1091CD,0.0,1.0
1091DX,0.0,1.0
1091GR,1.0,0.0
1091KD,0.0,1.0
1092CK,0.0,1.0
1093EE,0.0,1.0
1093EN,0.0,1.0
1093HZ,0.0,1.0
1093SK,0.0,1.0
1094CK,0.0,1.0
1094CP,0.0,1.0
1094PJ,0.0,1.0
1095CV,0.0,1.0
1095DH,0.0,1.0
1095JT,0.0,1.0
1095KJ,0.0,1.0
1095NA,0.0,1.0
1095XG,0.0,1.0
1096BA,1.0,0.0
1097BR,0.0,1.0
1097DN,1.0,1.0
1098AL,0.0,1.0
1098SH,0.0,1.0
1098WD,0.0,1.0
1101DS,1.0,0.0
1102CS,1.0,0.0
1102TB,1.0,0.0
1102ZJ,1.0,0.0
1103BA,1.0,0.0
1103JP,1.0,0.0
1104CE,1.0,0.0
1106AT,1.0,0.0
1106TD,1.0,0.0
1107AD,1.0,0.0
1108AX,1.0,0.0
1111BB,0.0,1.0
1111BE,0.0,1.0
1111RH,0.0,1.0
1112XJ,1.0,0.0
1114AH,1.0,0.0
1114AK,1.0,0.0
1115BZ,1.0,0.0
1181AG,0.0,1.0
1181VZ,0.0,1.0
1183LL,0.0,1.0
1183LX,0.0,1.0
1183ZZ,0.0,2.0
1185AW,0.0,1.0
1185MD,0.0,1.0
1186MJ,0.0,1.0
1187PZ,0.0,1.0
1187VA,0.0,1.0
1188JK,0.0,1.0
1188LE,0.0,1.0
